value	lower	upper	time
136675	48140.1	502330	341683.366733467
136675	48140.1	502330	342685.370741483
136675	48140.1	502330	343687.374749499
136675	48140.1	502330	344689.378757515
136675	48140.1	502330	345691.382765531
136675	48140.1	502330	346693.386773547
136675	48140.1	502330	347695.390781563
136675	48140.1	502330	348697.394789579
136675	48140.1	502330	349699.398797595
136675	48140.1	502330	350701.402805611
136675	48140.1	502330	351703.406813627
136675	48140.1	502330	352705.410821643
136675	48140.1	502330	353707.414829659
136675	48140.1	502330	354709.418837675
136675	48140.1	502330	355711.422845691
136675	48140.1	502330	356713.426853707
136675	48140.1	502330	357715.430861723
136675	48140.1	502330	358717.43486974
136675	48140.1	502330	359719.438877756
136675	48140.1	502330	360721.442885772
136675	48140.1	502330	361723.446893788
136675	48140.1	502330	362725.450901804
136675	48140.1	502330	363727.45490982
136675	48140.1	502330	364729.458917836
136675	48140.1	502330	365731.462925852
136675	48140.1	502330	366733.466933868
136675	48140.1	502330	367735.470941884
136675	48140.1	502330	368737.4749499
136675	48140.1	502330	369739.478957916
136675	48140.1	502330	370741.482965932
136675	48140.1	502330	371743.486973948
136675	48140.1	502330	372745.490981964
136675	48140.1	502330	373747.49498998
136675	48140.1	502330	374749.498997996
136675	48140.1	502330	375751.503006012
136675	48140.1	502330	376753.507014028
136675	48140.1	502330	377755.511022044
136675	48140.1	502330	378757.51503006
136675	48140.1	502330	379759.519038076
136675	48140.1	502330	380761.523046092
136675	48140.1	502330	381763.527054108
136675	48140.1	502330	382765.531062124
136675	48140.1	502330	383767.53507014
136675	48140.1	502330	384769.539078156
136675	48140.1	502330	385771.543086172
136675	48140.1	502330	386773.547094188
136675	48140.1	502330	387775.551102204
136675	48140.1	502330	388777.55511022
136675	48140.1	502330	389779.559118236
136675	48140.1	502330	390781.563126252
136675	48140.1	502330	391783.567134269
136675	48140.1	502330	392785.571142285
136675	48140.1	502330	393787.575150301
136675	48140.1	502330	394789.579158317
136675	48140.1	502330	395791.583166333
136675	48140.1	502330	396793.587174349
136675	48140.1	502330	397795.591182365
136675	48140.1	502330	398797.595190381
136675	48140.1	502330	399799.599198397
136675	48140.1	502330	400801.603206413
136675	48140.1	502330	401803.607214429
136675	48140.1	502330	402805.611222445
136675	48140.1	502330	403807.615230461
136675	48140.1	502330	404809.619238477
136675	48140.1	502330	405811.623246493
136675	48140.1	502330	406813.627254509
136675	48140.1	502330	407815.631262525
136675	48140.1	502330	408817.635270541
136675	48140.1	502330	409819.639278557
136675	48140.1	502330	410821.643286573
136675	48140.1	502330	411823.647294589
136675	48140.1	502330	412825.651302605
136675	48140.1	502330	413827.655310621
136675	48140.1	502330	414829.659318637
136675	48140.1	502330	415831.663326653
136675	48140.1	502330	416833.667334669
136675	48140.1	502330	417835.671342685
136675	48140.1	502330	418837.675350701
136675	48140.1	502330	419839.679358717
136675	48140.1	502330	420841.683366733
136675	48140.1	502330	421843.68737475
136675	48140.1	502330	422845.691382766
136675	48140.1	502330	423847.695390782
136675	48140.1	502330	424849.699398798
136675	48140.1	502330	425851.703406814
136675	48140.1	502330	426853.70741483
136675	48140.1	502330	427855.711422846
136675	48140.1	502330	428857.715430862
136675	48140.1	502330	429859.719438878
136675	48140.1	502330	430861.723446894
136675	48140.1	502330	431863.72745491
136675	48140.1	502330	432865.731462926
136675	48140.1	502330	433867.735470942
136675	48140.1	502330	434869.739478958
136675	48140.1	502330	435871.743486974
136675	48140.1	502330	436873.74749499
136675	48140.1	502330	437875.751503006
136675	48140.1	502330	438877.755511022
136675	48140.1	502330	439879.759519038
136675	48140.1	502330	440881.763527054
136675	48140.1	502330	441883.76753507
136675	48140.1	502330	442885.771543086
136675	48140.1	502330	443887.775551102
